Year,РСД Кикинда,РСД Панчево ,РСД Суботица,РСД „Јарак“ Сремска Митровица ,"РСД „Винча”, Београд",РСД „Врбак“ Лапово ,РСД „Гигош“ Јагодина,РСД „Дубоко“ Ужице,РСД „Жељковац – Д2“ Лесковац,РСД „Мунтина падина“ Пирот ,"СД „Вујан"", Горњи Милановац ","СД „Метерис“, Врање"
2015,54008.0,,,44545.0,,35580.0,62760.0,72051.0,64269.0,36956.0,14879.0,180.0
2016,50903.0,34093.0,,48126.0,,49749.0,74113.0,77930.0,63380.0,31685.0,13628.0,19890.0
2017,50411.0,25815.0,,50912.0,,41266.0,62893.0,75295.0,69255.0,29987.0,15203.0,16841.0
2018,55056.0,25358.0,,51080.0,,35264.0,61660.0,79764.0,71102.0,28456.0,14655.0,17247.0
2019,50231.0,28562.0,4056.0,55369.0,,68166.0,75360.0,82214.0,71369.0,30903.0,14580.0,20087.0
2020,37478.0,76225.0,27382.0,56680.0,,57396.0,69042.0,83541.0,82953.0,30654.0,15361.0,21946.0
2021,29717.0,41817.0,27978.0,58574.0,327980.0,50404.0,75835.0,87905.0,77388.0,33918.0,15095.0,23504.0
2022,25484.0,42689.0,28359.0,72076.0,782161.0,29616.0,80276.0,90082.0,71980.0,36184.0,15699.0,19519.0
2023,24592.0,30420.0,60991.0,75755.0,671359.0,25132.0,78297.0,83376.0,86509.0,33483.0,13915.0,17854.0
2024,21937.0,47462.0,86916.0,80839.0,569968.0,32388.0,97846.0,35328.0,85060.0,18039.0,13974.0,19704.0
